VISIT.,AMGR,AMMA,ANBO,PSRE,RAAU,RACA,RAPR,TAGR,SiteCode
02-07,NA,NA,NA,NA,NA,NA,NA,NA,WEENS
02-08,NA,NA,1,NA,NA,NA,NA,NA,FROG
02-09,NA,NA,9,NA,NA,NA,NA,NA,FROG
02-11,NA,NA,NA,1,NA,NA,NA,NA,JACK
02-10,NA,NA,NA,5,NA,NA,NA,NA,DRY
02-21,NA,NA,NA,NA,NA,NA,NA,NA,FROG
02-30,NA,NA,NA,NA,NA,NA,NA,NA,FRY
02-29,NA,NA,NA,NA,NA,NA,NA,NA,JACK
02-28,NA,NA,NA,NA,NA,NA,NA,NA,DRY
02-31,NA,NA,NA,NA,NA,NA,NA,NA,FRY
02-32,NA,NA,NA,NA,NA,NA,NA,1,FROG
02-33,NA,NA,NA,NA,1,NA,NA,NA,LCM
02-35,NA,NA,NA,NA,NA,NA,NA,NA,FRY
02-34,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
03-07,NA,NA,NA,NA,NA,NA,NA,15,BRUR
03-10,NA,NA,NA,NA,NA,NA,NA,NA,WEENS
03-13,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
03-15,NA,NA,NA,1,NA,1,NA,NA,LCM
03-16,NA,NA,0,NA,NA,NA,NA,NA,BRUR
03-20,NA,NA,15,NA,NA,NA,NA,NA,BRUR
03-56,NA,NA,NA,NA,NA,NA,NA,1,WEENS
03-22,NA,NA,30,NA,NA,NA,NA,2,BRUR
03-24,NA,NA,NA,1,NA,NA,NA,NA,JACK
03-23,NA,NA,NA,NA,NA,NA,NA,NA,DRY
03-28,NA,NA,NA,NA,NA,NA,NA,NA,FRY
03-27,NA,NA,NA,NA,NA,2,NA,NA,JACK
03-26,NA,NA,NA,NA,NA,NA,NA,NA,DRY
03-31,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
03-33,NA,NA,NA,NA,NA,2,NA,NA,JACK
03-32,NA,NA,NA,NA,NA,NA,NA,NA,DRY
03-35,NA,NA,NA,NA,NA,NA,NA,NA,FRY
03-36,NA,NA,NA,NA,NA,NA,2,NA,CAMAS
03-37,NA,NA,NA,NA,NA,NA,NA,NA,FRY
03-41,NA,NA,NA,1,1,NA,NA,2,LCM
03-55,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
03-58,NA,NA,NA,2,NA,NA,NA,NA,LCM
04-03,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
04-05,NA,NA,NA,NA,NA,NA,NA,1,BRUR
04-06,NA,NA,NA,NA,NA,NA,NA,12,CAMAS
04-20,NA,NA,2,NA,NA,NA,NA,1,BRUR
04-21,NA,NA,0,NA,NA,NA,NA,NA,BRUR
04-07,NA,NA,35,NA,NA,NA,NA,NA,FROG
04-22,NA,NA,3,NA,NA,NA,NA,NA,FRY
04-24,NA,NA,NA,NA,NA,NA,NA,1,JACK
04-23,NA,NA,NA,NA,NA,NA,NA,NA,DRY
04-25,NA,NA,NA,NA,NA,NA,NA,12,FROG
04-27,NA,NA,7,NA,NA,NA,NA,NA,BRUR
04-29,NA,NA,14,NA,NA,NA,NA,NA,BRUR
04-10,NA,NA,1,2,NA,NA,NA,NA,FRY
04-12,NA,NA,NA,NA,NA,NA,NA,NA,JACK
04-11,NA,NA,NA,NA,NA,NA,NA,NA,DRY
04-13,NA,NA,NA,NA,NA,NA,NA,NA,FROG
04-33,NA,NA,NA,NA,NA,2,NA,3,WEENS
04-35,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
04-19,NA,NA,NA,NA,NA,NA,NA,NA,FROG
04-41,NA,NA,NA,NA,NA,NA,NA,NA,FRY
04-39,NA,NA,NA,1,NA,NA,NA,NA,JACK
04-38,NA,NA,NA,NA,NA,NA,NA,NA,DRY
04-40,NA,NA,NA,NA,NA,NA,NA,NA,LCM
04-42,NA,NA,NA,NA,NA,NA,NA,NA,FRY
05-07,NA,NA,NA,NA,NA,2,NA,1,WEENS
05-10,NA,NA,NA,NA,NA,3,NA,NA,WEENS
